                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1945,                 2.6045,                 1.7411,                0.00333,                      1,                0.51438,                0.28462,                0.95207,                 3.4358,                 1.9677,                0.00014,                0.00014,                0.00014
                      2,                 1.0125,                  1.766,                 1.5321,                0.71475,                0.06452,                0.81146,                0.49435,                0.85955,                 3.1928,                 1.8075,             0.00029703,             0.00029703,             0.00029703
                      3,                0.94738,                  1.313,                 1.4635,                0.91053,                0.83871,                0.89574,                0.56686,                 1.1317,                 2.5505,                 2.1116,             0.00045089,             0.00045089,             0.00045089
                      4,                0.90263,                 1.2925,                 1.4301,                 0.8553,                0.76298,                0.90396,                0.53575,                 1.0513,                 2.8739,                 1.9619,             0.00060159,             0.00060159,             0.00060159
                      5,                0.93925,                 1.1855,                 1.4381,                0.59734,                0.81365,                0.64925,                0.29594,                  1.573,                 3.2035,                 2.8497,             0.00074911,             0.00074911,             0.00074911
                      6,                0.99892,                 1.1539,                 1.4626,                0.43726,                0.80645,                0.52487,                0.24451,                 1.5626,                 3.4514,                 3.0142,             0.00089347,             0.00089347,             0.00089347
                      7,                0.99672,                 1.2087,                 1.4894,                0.84714,                0.77419,                0.87025,                0.38907,                 1.4812,                 2.9265,                 2.9568,              0.0010347,              0.0010347,              0.0010347
                      8,                 1.0069,                 1.3239,                 1.5525,                0.51943,                0.41935,                0.41811,                0.12426,                 2.8624,                 4.1436,                 3.8459,              0.0011727,              0.0011727,              0.0011727
                      9,                0.90527,                 1.1374,                 1.4298,                0.23785,                0.29032,                0.22478,                0.08664,                 2.6346,                 3.7139,                 4.0098,              0.0013075,              0.0013075,              0.0013075
                     10,                 1.0213,                 1.0869,                 1.4934,                0.15731,                0.16129,                0.06705,                0.02267,                 3.4868,                 4.0148,                 4.4991,              0.0014392,              0.0014392,              0.0014392
