                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0655,                 4.0936,                 1.7818,                0.00291,                0.25379,                0.03189,                0.01439,                 1.9073,                 4.0502,                 1.8216,               8.75e-05,               8.75e-05,               8.75e-05
                      2,                 1.8386,                 3.4773,                 1.5707,                0.00679,                0.60447,                0.25724,                0.10716,                 1.7113,                 3.6214,                 1.4969,             0.00018564,             0.00018564,             0.00018564
                      3,                 1.8246,                 2.4627,                 1.4586,                0.93538,                0.10876,                0.19573,                0.07142,                 1.6791,                 3.4107,                 1.4549,             0.00028181,             0.00028181,             0.00028181
                      4,                  1.667,                 2.0521,                 1.4152,                0.93066,                0.13821,                0.24992,                0.11039,                 1.6553,                 3.2138,                 1.4663,             0.00037599,             0.00037599,             0.00037599
                      5,                  1.592,                 1.8118,                 1.3369,                0.94718,                0.17424,                0.45632,                0.23169,                  1.655,                 2.9452,                 1.4382,             0.00046819,             0.00046819,             0.00046819
                      6,                 1.6134,                 1.7621,                 1.3664,                      1,                0.08619,                0.38943,                0.19273,                 1.6565,                 3.2009,                 1.5286,             0.00055842,             0.00055842,             0.00055842
                      7,                  1.528,                 1.6713,                  1.309,                0.71725,                0.12121,                0.60695,                0.24962,                 1.9508,                 2.9524,                 1.6121,             0.00064666,             0.00064666,             0.00064666
                      8,                  1.532,                 1.5489,                 1.3284,                0.74785,                0.27202,                0.67137,                0.36101,                 1.6564,                 2.7115,                  1.455,             0.00073293,             0.00073293,             0.00073293
                      9,                 1.5039,                 1.5018,                 1.2872,                0.79908,                0.32041,                0.68927,                0.33444,                 1.6858,                 2.6082,                 1.4463,             0.00081721,             0.00081721,             0.00081721
                     10,                 1.4878,                 1.4757,                  1.303,                0.84804,                0.36195,                  0.709,                0.37084,                 1.6109,                 2.5133,                 1.4574,             0.00089951,             0.00089951,             0.00089951
                     11,                 1.4582,                 1.4011,                 1.2869,                0.80018,                0.44776,                0.74858,                0.38983,                  1.629,                 2.4621,                 1.4763,             0.00097984,             0.00097984,             0.00097984
                     12,                 1.5247,                 1.5104,                 1.3424,                0.76216,                0.56319,                0.74621,                0.42176,                  1.498,                 2.2454,                 1.3581,              0.0010582,              0.0010582,              0.0010582
                     13,                 1.4509,                 1.4792,                 1.3101,                0.77374,                0.59836,                0.78527,                0.44379,                 1.4734,                 2.0375,                 1.3489,              0.0011015,              0.0011015,              0.0011015
                     14,                  1.439,                  1.355,                 1.2438,                0.81818,                0.69379,                 0.8112,                0.44862,                 1.4997,                  1.883,                 1.3605,              0.0011015,              0.0011015,              0.0011015
                     15,                  1.417,                 1.3102,                 1.2574,                0.60773,                  0.565,                0.72589,                0.41791,                 1.5508,                 2.0211,                 1.4052,              0.0010891,              0.0010891,              0.0010891
                     16,                 1.3736,                 1.2724,                 1.2498,                0.62052,                0.69349,                0.72651,                0.42669,                 1.4888,                 1.6477,                 1.3505,              0.0010768,              0.0010768,              0.0010768
                     17,                 1.4198,                 1.3379,                 1.2969,                0.72068,                0.76118,                0.73086,                0.37185,                 1.6321,                 1.7591,                  1.481,              0.0010644,              0.0010644,              0.0010644
                     18,                 1.3518,                 1.2408,                 1.2248,                0.76002,                 0.7392,                0.80605,                0.43853,                 1.5531,                 1.5562,                 1.4292,               0.001052,               0.001052,               0.001052
                     19,                 1.3689,                 1.2241,                 1.2539,                0.86505,                0.75574,                0.82346,                 0.4636,                 1.5368,                 1.4843,                 1.4135,              0.0010396,              0.0010396,              0.0010396
                     20,                 1.3353,                 1.2145,                  1.217,                0.82758,                0.76172,                 0.8201,                0.47293,                 1.4673,                 1.4971,                  1.348,              0.0010273,              0.0010273,              0.0010273
                     21,                 1.3562,                  1.201,                 1.2581,                 0.8381,                0.77104,                0.83639,                 0.4348,                 1.5949,                 1.5362,                 1.4746,              0.0010149,              0.0010149,              0.0010149
                     22,                 1.3605,                 1.1418,                 1.2361,                0.82905,                0.75935,                 0.8532,                0.48242,                 1.5058,                 1.3685,                 1.3791,              0.0010025,              0.0010025,              0.0010025
                     23,                  1.326,                 1.1239,                 1.2329,                0.79495,                0.71334,                0.79083,                0.44763,                 1.5263,                 1.6427,                  1.406,             0.00099013,             0.00099013,             0.00099013
                     24,                 1.3212,                 1.1147,                 1.2076,                0.84901,                0.74584,                0.76882,                0.43732,                 1.5056,                 1.5103,                 1.4178,             0.00097775,             0.00097775,             0.00097775
